Lon   Lat   clay silt sand orgC CN pH cellfraction 
-106.25 25.75 0.230 0.400 0.370 0.013 9.000 7.200 0.403 
-137.75 60.75 0.240 0.310 0.450 0.010 11.000 6.600 0.515 
66.25 32.25 0.270 0.300 0.430 0.014 11.000 7.600 0.344 
47.25 50.25 0.320 0.360 0.320 0.014 10.000 8.100 0.460 
-132.75 64.25 0.240 0.310 0.450 0.010 11.000 6.600 0.600 
-97.25 36.25 0.230 0.400 0.370 0.013 9.000 7.200 0.861 
120.75 23.25 0.270 0.300 0.430 0.014 11.000 7.600 0.439 
136.25 62.75 0.210 0.420 0.370 0.017 14.000 5.100 0.690 
43.75 59.75 0.100 0.400 0.500 0.011 11.000 5.500 0.526 
-92.75 70.75 0.080 0.370 0.550 0.020 11.000 5.900 0.600 
-104.75 69.25 0.080 0.370 0.550 0.020 11.000 5.900 1.000 
-65.25 -0.25 0.350 0.110 0.540 0.010 13.000 4.500 0.295 
-99.25 49.25 0.280 0.480 0.240 0.022 11.000 7.000 0.448 
89.75 24.75 0.290 0.300 0.410 0.010 11.000 6.200 0.546 
133.75 -18.75 0.170 0.240 0.590 0.010 13.000 5.200 0.412 
23.25 48.75 0.240 0.330 0.430 0.014 12.000 5.100 0.698 
-46.75 -6.75 0.060 0.050 0.890 0.004 13.000 5.600 0.489 
23.75 24.75 0.170 0.270 0.560 0.004 9.000 8.000 0.437 
6.25 51.75 0.200 0.220 0.580 0.008 11.000 6.200 0.382 
105.25 41.25 0.060 0.060 0.880 0.002 12.000 5.900 0.316 
90.75 64.75 0.210 0.420 0.370 0.017 14.000 5.100 0.700 
145.75 68.75 0.210 0.420 0.370 0.017 14.000 5.100 0.400 
98.25 40.75 0.170 0.270 0.560 0.004 9.000 8.000 0.388 
-121.25 41.25 0.220 0.190 0.590 0.008 11.000 5.100 0.661 
-117.25 56.25 0.280 0.410 0.310 0.012 11.000 7.500 0.369 
141.75 73.75 0.200 0.480 0.320 0.031 17.000 6.300 0.701 
-54.25 -19.25 0.060 0.050 0.890 0.004 13.000 5.600 0.372 
63.75 46.75 0.270 0.330 0.400 0.005 10.000 8.200 0.415 
-12.75 20.75 0.060 0.060 0.880 0.002 12.000 5.900 0.507 
-89.25 37.25 0.200 0.220 0.580 0.008 11.000 6.200 0.403 
103.25 30.75 0.270 0.300 0.430 0.014 11.000 7.600 0.388 
-69.75 -45.75 0.230 0.320 0.450 0.009 11.000 7.000 0.373 
120.25 55.75 0.270 0.300 0.430 0.014 11.000 7.600 0.385 
115.25 0.75 0.220 0.190 0.590 0.008 11.000 5.100 0.444 
-50.75 -5.25 0.390 0.170 0.440 0.013 12.000 4.900 0.700 
-107.75 71.75 0.080 0.370 0.550 0.020 11.000 5.900 1.000 
58.25 64.25 0.050 0.150 0.800 0.018 19.000 4.700 0.600 
116.75 -21.25 0.280 0.310 0.410 0.006 11.000 7.800 0.398 
-0.75 40.25 0.280 0.370 0.350 0.007 10.000 8.000 0.526 
8.25 16.75 0.270 0.300 0.430 0.014 11.000 7.600 0.399 
-111.75 51.75 0.280 0.410 0.310 0.012 11.000 7.500 0.680 
80.25 50.75 0.320 0.400 0.280 0.014 10.000 7.400 0.889 
105.25 -2.75 0.410 0.330 0.260 0.307 21.000 4.400 0.426 
-73.25 11.25 0.370 0.240 0.390 0.010 10.000 5.490 0.418 
43.75 11.25 0.095 0.117 0.788 0.003 11.446 6.404 0.478 
103.25 20.25 0.220 0.190 0.590 0.008 11.000 5.100 0.700 
-74.75 59.25 0.270 0.300 0.430 0.014 11.000 7.600 1.000 
-139.25 64.25 0.240 0.310 0.450 0.010 11.000 6.600 0.647 
54.75 71.75 0.080 0.370 0.550 0.020 11.000 5.900 0.517 
-49.25 -4.25 0.350 0.110 0.540 0.010 13.000 4.500 0.495 
-44.75 -16.25 0.540 0.200 0.260 0.014 13.000 4.900 0.568 
127.25 0.75 0.202 0.214 0.584 0.014 11.391 5.481 0.444 
68.75 61.25 0.240 0.330 0.430 0.014 12.000 5.100 0.345 
24.75 13.75 0.270 0.300 0.430 0.014 11.000 7.600 0.486 
116.75 -20.75 0.540 0.290 0.170 0.008 11.000 7.900 0.482 
30.25 15.25 0.230 0.280 0.490 0.007 10.000 8.000 0.500 
114.75 72.25 0.200 0.480 0.320 0.031 17.000 6.300 0.500 
26.25 21.25 0.170 0.270 0.560 0.004 9.000 8.000 0.600 
18.75 43.25 0.320 0.280 0.400 0.011 10.000 6.700 0.364 
58.25 42.75 0.290 0.330 0.380 0.005 10.000 8.200 0.491 
55.75 47.75 0.180 0.120 0.700 0.004 11.000 7.300 0.573 
106.25 32.75 0.270 0.300 0.430 0.014 11.000 7.600 0.437 
48.75 65.75 0.050 0.150 0.800 0.018 19.000 4.700 0.517 
